ticket_id,customer_id,issue_type,resolved
TIC_00455,CUST_06133,General,Yes
TIC_00456,CUST_00964,Technical,Yes
TIC_00457,CUST_04966,Billing,Yes
TIC_00458,CUST_03244,Technical,No
TIC_00459,CUST_07441,Billing,Yes
TIC_00460,CUST_06515,Billing,No
TIC_00461,CUST_01760,Billing,Yes
TIC_00462,CUST_01725,Billing,Yes
TIC_00463,CUST_08245,Technical,No
TIC_00464,CUST_01280,Billing,Yes
TIC_00465,CUST_06506,General,Yes
TIC_00466,CUST_02418,General,Yes
TIC_00467,CUST_00010,General,Yes
TIC_00468,CUST_00341,General,Yes
TIC_00469,CUST_06450,Billing,Yes
TIC_00470,CUST_08233,General,Yes
TIC_00471,CUST_09885,Technical,Yes
TIC_00472,CUST_08444,Technical,Yes
TIC_00473,CUST_00818,Technical,No
TIC_00474,CUST_05518,Billing,No
TIC_00475,CUST_03511,Technical,Yes
TIC_00476,CUST_03127,Technical,Yes
TIC_00477,CUST_09422,Technical,Yes
TIC_00478,CUST_08794,General,Yes
TIC_00479,CUST_02497,General,Yes
TIC_00480,CUST_00537,General,Yes
TIC_00481,CUST_03448,Technical,Yes
TIC_00482,CUST_06125,Technical,Yes
TIC_00483,CUST_02498,Technical,Yes
TIC_00484,CUST_08193,Billing,Yes
TIC_00485,CUST_01795,General,Yes
TIC_00486,CUST_08583,General,No
TIC_00487,CUST_00275,General,Yes
TIC_00488,CUST_04938,Technical,Yes
TIC_00489,CUST_03562,General,Yes
TIC_00490,CUST_09124,Technical,Yes
TIC_00491,CUST_09832,Technical,Yes
TIC_00492,CUST_05762,Technical,Yes
TIC_00493,CUST_02457,Billing,Yes
TIC_00494,CUST_08804,General,Yes
TIC_00495,CUST_06447,Technical,Yes
TIC_00496,CUST_02563,Billing,No
TIC_00497,CUST_06667,Billing,No
TIC_00498,CUST_01772,Technical,Yes
TIC_00499,CUST_02503,Technical,Yes
TIC_00500,CUST_06531,Technical,Yes
TIC_00501,CUST_01380,Billing,Yes
TIC_00502,CUST_02767,Billing,Yes
TIC_00503,CUST_01421,Technical,Yes
TIC_00504,CUST_07517,Technical,Yes
TIC_00505,CUST_02291,Billing,Yes
TIC_00506,CUST_01496,General,Yes
TIC_00507,CUST_09896,General,Yes
TIC_00508,CUST_09808,Billing,Yes
TIC_00509,CUST_01760,General,Yes
TIC_00510,CUST_05877,General,Yes
TIC_00511,CUST_08967,General,No
TIC_00512,CUST_06165,General,Yes
TIC_00513,CUST_06080,General,Yes
TIC_00514,CUST_06865,Technical,Yes
TIC_00515,CUST_08085,Technical,Yes
TIC_00516,CUST_02051,General,Yes
TIC_00517,CUST_09176,General,Yes
TIC_00518,CUST_00744,Technical,No
TIC_00519,CUST_08911,General,No
TIC_00520,CUST_09487,General,Yes
TIC_00521,CUST_07509,Billing,No
TIC_00522,CUST_01215,Billing,Yes
TIC_00523,CUST_04336,Billing,Yes
TIC_00524,CUST_08924,Billing,Yes
TIC_00525,CUST_02983,Billing,Yes
TIC_00526,CUST_00566,Billing,No
TIC_00527,CUST_06836,Technical,Yes
TIC_00528,CUST_07118,Technical,No
TIC_00529,CUST_04946,Billing,Yes
TIC_00530,CUST_01255,General,No
TIC_00531,CUST_03306,General,Yes
TIC_00532,CUST_05329,General,Yes
TIC_00533,CUST_04521,General,Yes
TIC_00534,CUST_04165,Technical,Yes
TIC_00535,CUST_07115,Billing,No
TIC_00536,CUST_06288,Technical,Yes
TIC_00537,CUST_06159,Technical,Yes
TIC_00538,CUST_07610,Billing,Yes
TIC_00539,CUST_03708,Billing,Yes
TIC_00540,CUST_09153,Technical,Yes
TIC_00541,CUST_02332,General,Yes
TIC_00542,CUST_08502,Billing,Yes
TIC_00543,CUST_01635,Billing,Yes
TIC_00544,CUST_03864,General,Yes
TIC_00545,CUST_08353,General,Yes
TIC_00546,CUST_06473,Billing,Yes
TIC_00547,CUST_07065,General,Yes
TIC_00548,CUST_05574,General,Yes
TIC_00549,CUST_03349,General,Yes
TIC_00550,CUST_03726,Technical,Yes
TIC_00551,CUST_08960,Billing,Yes
TIC_00552,CUST_09070,Technical,Yes
TIC_00553,CUST_02229,General,Yes
TIC_00554,CUST_07696,Billing,Yes
TIC_00555,CUST_02611,General,Yes
TIC_00556,CUST_06407,Billing,Yes
TIC_00557,CUST_02971,Technical,Yes
TIC_00558,CUST_03486,Billing,Yes
TIC_00559,CUST_02680,Technical,Yes
TIC_00560,CUST_04479,Technical,Yes
TIC_00561,CUST_02245,General,Yes
TIC_00562,CUST_02287,Billing,Yes
TIC_00563,CUST_06730,General,No
TIC_00564,CUST_04823,Technical,Yes
TIC_00565,CUST_00702,Technical,Yes
TIC_00566,CUST_03602,Technical,Yes
TIC_00567,CUST_00490,Technical,Yes
TIC_00568,CUST_06769,Billing,Yes
TIC_00569,CUST_00469,Technical,Yes
TIC_00570,CUST_08084,Technical,Yes
TIC_00571,CUST_02595,Billing,Yes
TIC_00572,CUST_06039,General,No
TIC_00573,CUST_09125,Technical,Yes
TIC_00574,CUST_06484,General,Yes
TIC_00575,CUST_03333,Technical,Yes
TIC_00576,CUST_09178,Billing,Yes
TIC_00577,CUST_05508,Billing,Yes
TIC_00578,CUST_00014,General,Yes
TIC_00579,CUST_05535,General,Yes
TIC_00580,CUST_06628,Billing,Yes
TIC_00581,CUST_06035,Billing,Yes
TIC_00582,CUST_00130,General,Yes
TIC_00583,CUST_00095,Billing,Yes
TIC_00584,CUST_09729,Billing,Yes
TIC_00585,CUST_01849,Technical,Yes
TIC_00586,CUST_01796,Technical,No
TIC_00587,CUST_06379,Technical,No
TIC_00588,CUST_00187,General,Yes
TIC_00589,CUST_07561,General,Yes
TIC_00590,CUST_04081,Technical,Yes
TIC_00591,CUST_06965,Billing,Yes
TIC_00592,CUST_08143,General,Yes
TIC_00593,CUST_05823,Billing,Yes
TIC_00594,CUST_09570,Technical,Yes
TIC_00595,CUST_03684,General,Yes
TIC_00596,CUST_06135,Technical,No
TIC_00597,CUST_03368,Billing,Yes
TIC_00598,CUST_05487,General,No
TIC_00599,CUST_03148,Billing,Yes
TIC_00600,CUST_00912,Technical,Yes
TIC_00601,CUST_03114,General,Yes
TIC_00602,CUST_01267,Technical,Yes
TIC_00603,CUST_01283,Billing,Yes
TIC_00604,CUST_04130,Technical,Yes
TIC_00605,CUST_00580,Technical,Yes
TIC_00606,CUST_07729,Billing,Yes
TIC_00607,CUST_05144,Billing,Yes
TIC_00608,CUST_05177,Billing,No
TIC_00609,CUST_04358,General,Yes
TIC_00610,CUST_01546,General,Yes
TIC_00611,CUST_02293,Billing,No
TIC_00612,CUST_01557,Billing,Yes
TIC_00613,CUST_02273,Billing,Yes
TIC_00614,CUST_01227,Billing,Yes
TIC_00615,CUST_08167,General,Yes
TIC_00616,CUST_01271,Technical,Yes
TIC_00617,CUST_01748,General,Yes
TIC_00618,CUST_04648,Billing,No
TIC_00619,CUST_03935,General,Yes
TIC_00620,CUST_06021,Billing,Yes
TIC_00621,CUST_06913,General,Yes
TIC_00622,CUST_06281,Technical,Yes
TIC_00623,CUST_03812,General,Yes
TIC_00624,CUST_08823,Technical,Yes
TIC_00625,CUST_01728,Technical,Yes
TIC_00626,CUST_00105,Billing,No
TIC_00627,CUST_00217,Billing,Yes
TIC_00628,CUST_09517,General,Yes
TIC_00629,CUST_05677,Technical,Yes
TIC_00630,CUST_09458,General,No
TIC_00631,CUST_07112,Technical,Yes
TIC_00632,CUST_03128,Technical,Yes
TIC_00633,CUST_08475,General,Yes
TIC_00634,CUST_09411,General,Yes
TIC_00635,CUST_05899,General,Yes
TIC_00636,CUST_06714,General,No
TIC_00637,CUST_01613,Technical,Yes
TIC_00638,CUST_08060,Technical,No
TIC_00639,CUST_08713,General,Yes
TIC_00640,CUST_04183,General,Yes
TIC_00641,CUST_06012,Billing,Yes
TIC_00642,CUST_09453,General,Yes
TIC_00643,CUST_01893,General,Yes
TIC_00644,CUST_09546,Technical,Yes
TIC_00645,CUST_09876,Technical,No
TIC_00646,CUST_04480,General,Yes
TIC_00647,CUST_03926,Billing,Yes
TIC_00648,CUST_04759,Billing,Yes
TIC_00649,CUST_05373,Technical,Yes
TIC_00650,CUST_09193,Technical,Yes
TIC_00651,CUST_04925,Technical,Yes
TIC_00652,CUST_02224,Technical,Yes
TIC_00653,CUST_05352,Billing,No
TIC_00654,CUST_01301,Billing,No
TIC_00655,CUST_05738,Technical,Yes
TIC_00656,CUST_04913,General,Yes
TIC_00657,CUST_08360,General,Yes
TIC_00658,CUST_09677,Technical,No
TIC_00659,CUST_05326,General,Yes
TIC_00660,CUST_06461,Technical,Yes
